Node_id ; adjacency_list
1357337175 > [1357336572, 1357336883]
2841816019 > [2841816029, 4296801939]
5103628931 > [4712779444, 3112211301]
746270409 > [746270366, 2409016560]
746270408 > [746270364, 746270397]
4360765785 > [4360765992, 4360765780]
1719231692 > [421429549, 421429553]
2841816020 > [2841816045, 2841816033]
356325253 > [418313783, 418313822]
4360765780 > [4360765785, 1950422454]
746270402 > [746270351, 746270392]
2841816024 > [356759180, 2458097787]
2841816025 > [2841816036]
2841816030 > [2841816010]
746270406 > [2201193746]
2841816031 > [2841816008, 2841815598]
746270405 > [746270395, 746270354]
2841816028 > [2841816029]
746270404 > [746270378, 746270394]
2841816029 > [2841816033, 2841816019]
746270395 > [746270384, 746270405]
746270394 > [746270404, 746270383]
746270392 > [746270402]
746270399 > [746270390, 2201167310]
4411360309 > [4411360312, 4411360310]
746270398 > [2409016560, 746270388]
4411360308 > [4411360312]
746270397 > [746270408, 746270387]
4411360311 > [4411360310, 4411360312]
418585140 > [345532102, 420277810]
4411360310 > [4411360309, 4411360311]
746270387 > [746270397]
4411360312 > [4411360308, 4411360309]
746270384 > [2201167333, 746270395]
746270391 > [316563436, 358089318]
746270390 > [746270379, 746270399]
746270389 > [1810125326, 416513519]
746270388 > [746270398, 4074515393]
746270379 > [746270354, 746270390]
2153939634 > [457364550, 2153939636]
746270378 > [746270404]
1357337141 > [1357337901, 1357337829]
3436695045 > [4529684944]
2153939638 > [2153939636, 2153939601]
746270383 > [746270394, 746270366]
746270382 > [1812542645, 746270364]
2153939636 > [2153939634, 2153939638]
1719231663 > [2552110214]
746270371 > [746270348, 1812542636]
4411360297 > [4411360302]
3436695054 > [3676008116]
746270369 > [748841297, 746496378]
4411360299 > [4411360298, 4411360300]
746270368 > [746270347, 2201167333]
2153939641 > [2045668041, 2153939646]
4411360298 > [4411360302, 4411360299]
2153939646 > [2153939641, 2045668120]
3436695051 > [3734489254]
4411360301 > [4411360300]
4411360300 > [4411360299, 4411360301]
4411360302 > [4411360297, 4411360298]
746270366 > [746270383, 746270409]
746270364 > [746270382, 746270408]
746270354 > [746270405, 746270379]
2153939596 > [2153939601]
746270347 > [746270368]
2153939601 > [2153939638, 2153939596]
746270351 > [3806952400]
2647236415 > [293390804, 2647236416]
746270348 > [2201167310, 746270371]
1837395827 > [3247744428]
1357337119 > [1357336510, 1357336835]
1357337583 > [1357336227, 1357336158]
5198132931 > [1921759367, 1921759369]
4938474821 > [4565272136, 4565272133]
1778215636 > [1737323616, 1737323668]
1778215633 > [1778215635, 1068535346]
356324880 > [418581578, 357845343]
1778215635 > [1778215636]
346036114 > [1382444852]
429333206 > [448997572, 2281729346]
1357337510 > [1357336883, 1357336121]
429333205 > [429333203, 3240935564]
4815789129 > [4334760045, 2600802032]
2841815590 > [4061262628, 1705521645]
429333203 > [3240935589, 429333205]
4815789134 > [4815789135, 4815789136]
4815789135 > [2162048796, 2162048783]
2841815589 > [2045668111, 2045668081]
429333215 > [5403383083]
2841815592 > [2841816015, 2841816036]
429333212 > [3240935253, 2281729345]
2841815593 > [2841815597]
1203913870 > [1200370052]
2841815598 > [2841816031, 2045668111]
4815789127 > [2600802050, 429327549]
1203913871 > [2566248099, 2566248083]
2841815596 > [2841815598]
5127615214 > [5127615215]
2841815597 > [2841815593, 2841816015]
5127615215 > [5127615214]
4815789147 > [4794806990, 4794806991]
2531890619 > [5315828953]
5127615218 > [2321525103, 2321525102]
4815789144 > [4815789143]
4815789145 > [3161091172, 429327570]
418585511 > [4097700751, 5092449282]
4815789150 > [4815789139, 4815789142]
429333199 > [1818472950, 3240935615]
4815789138 > [2162048783, 2162048787]
4815789139 > [4815789150]
4815789136 > [4815789134, 4815789137]
418585512 > [4097700772, 4097700762]
4815789137 > [4815789136]
4815789142 > [4815789150]
4815789143 > [4815789142, 4815789144]
429333192 > [1534027652]
4815789141 > [3161091170, 3161091171]
429333238 > [3240935162, 3240929156]
429333236 > [416513323, 416513326]
356324953 > [357845513, 418581593]
4815789154 > [4815789153, 4815789155]
4815789155 > [4815789154]
4815789153 > [429324226, 429324230]
429333241 > [3240929140]
1357337488 > [1357336852, 1357336091]
3044980227 > [2167441017]
5156974816 > [448940930]
2027453274 > [2027453265, 2027453280]
5156974820 > [5156974816, 5156975227]
2027453277 > [2027453250, 2027453253]
2027453265 > [2027453286, 2027453274]
2027453268 > [2027453283, 2320308657]
2027453271 > [2320308657, 345693161]
2027453256 > [2027452344, 2027452301]
2731385181 > [2731385179, 2731385177]
2731385183 > [2731385184]
2027453259 > [2027453280, 2027453262]
2731385177 > [2731385176, 4561157526]
2529006888 > [3877550798, 1306505159]
2731385176 > [4561157525]
2027453262 > [2027453259, 2027453289]
2731385179 > [2731344397, 2731385181]
2731385178 > [4561157526]
1357337456 > [1357336835, 1357336066]
2529006887 > [748057461, 3877550798]
4815789200 > [864280693, 864280720]
2027453250 > [2027453289]
2731385175 > [4561157525]
2027453253 > [2027453277, 2027453283]
2731385171 > [278127413]
2731385185 > [2731448151]
2731385184 > [2731385183, 4561157627]
2027453289 > [2027453262, 2027453250]
2027453280 > [2027453274, 2027453259]
2027453283 > [3258069224]
2027453286 > [2027453256, 2027453265]
5156974815 > [1457454894, 2522812514]
4938474908 > [4081331387, 3280453034]
1135034464 > [356722402]
346036074 > [293390433, 3868606217]
1357337384 > [1357336766, 1357337074]
4907345755 > [412884625, 1998374065]
3017912381 > [3017916044, 3017912382]
3017912380 > [3017916044]
3017912382 > [3017912381]
1357337829 > [1357337141, 1357336371]
1585470088 > [417872061, 1585470070]
4289854397 > [5128892216, 3501240045]
4289854396 > [4289854397]
1357337847 > [2075823063]
1585470101 > [1585469994, 1585470067]
4938474106 > [448169644, 448169641]
4120637883 > [4120637882]
4120637882 > [4120637879, 4120637883]
2037677404 > [2037677402, 2037677382]
1809870793 > [1809870808, 433733066]
4120637879 > [4120637882]
2037677402 > [2037677480, 2037677404]
4938474101 > [4347036834, 1495304929]
2037677382 > [2037677404]
1809870804 > [1809870808, 1809870806]
1357337810 > [1357337698, 1357336337]
1809870806 > [1809870804, 433733068]
1809870808 > [1809870793]
2531889873 > [4227672935, 356722332]
1357337767 > [1357337074, 2928613798]
3933466151 > [3933466150, 3933466152]
3933466150 > [3933466149, 3933466151]
3933466149 > [2552110220, 3933466150]
3933466154 > [2190697588, 2190697587]
3933466153 > [2552110115, 2552110244]
3933466152 > [3933466151, 2552110107]
1809870727 > [433733066, 433733064]
5271797330 > [1290302018, 1290302100]
5271797331 > [1290302129, 1290301972]
1357337738 > [1357337050, 1357336270]
5271797335 > [1290302001, 1375864535]
747841555 > [747841599, 747841624]
2167440817 > [2167440824]
747841559 > [747841604, 278124943]
2167440821 > [2167440846, 2167440828]
1357337698 > [1357337010, 1357337810]
1585469960 > [1585470069, 2039279036]
2167440824 > [2167440828, 2167440817]
2167440828 > [2167440821, 2167440824]
747841565 > [278124936, 747841609]
747841540 > [278124938, 278124939]
747841547 > [747841615, 441517256]
1585469978 > [2038253488]
1585469979 > [2047609360, 2047607713]
747841544 > [747841586, 747841612]
747841548 > [747841591, 2838919822]
1585469984 > [1585470034]
1585469985 > [2039279068]
747841586 > [747841518, 747841544]
2152826098 > [1579231217, 1579231218]
2152826101 > [984105108]
747841591 > [747841612, 747841548]
1585469989 > [2047609357]
2152826100 > [2152826101, 2125985615]
2152826103 > [2196994361]
747841589 > [441517256, 441517257]
1585469992 > [1585469993]
1585469993 > [1585469992, 2038253389]
1585469994 > [1585470059, 1585470101]
1585469996 > [1585470075]
747841599 > [747841573, 747841555]
1585469997 > [1585472409, 416479355]
747841571 > [278125000, 747841615]
3864519398 > [1644114274]
747841569 > [278124935, 747841613]
3864519397 > [3864519396]
1585470003 > [2047607774, 1585470031]
3864519396 > [3864519395, 3864519397]
1357337683 > [1357336991, 1357336227]
3864519395 > [1730259135, 3864519396]
747841573 > [2838919782, 747841599]
